Sample	PFOS
1	6.364153552774176
2	11.1
3	8.666909171267877
4	13.2
5	6.374993677918055
6	1.3372923484926298
7	9.934715522919339
8	10.43710918361326
9	1.2
10	10.97
11	5.284413066438049
12	6.45
13	4.817399149196159
14	3.951087337749695
15	4.17
16	5.11
17	9.55651754374226
18	10.245123266900764
19	60.0
20	9.14014154497337
21	2.26544856361272
22	3.01
23	4.24550229428478
24	6.834902280854931
25	1.6833036233688743
26	3.98
27	8.612124197967916
28	0.78
29	3.267201800872407
30	5.731861629747794
31	1.11
32	10.298910572839933
33	5.013897350103212
34	4.383010790759918
35	8.205437246204538
36	3.103810962855421
37	11.759522182305478
38	9.67228243703398
39	6.12912820584218
40	3.77
41	2.915971156406755
42	4.6922911222492285
43	11.650112791944563
44	5.120969391286911
45	7.043987366369073
46	5.9763071226811615
47	9.814413701455193
48	0.5027011163913278
49	0.6725955917579206
50	1.262668699982271
51	1.72
52	0.88
53	4.750673800063208
54	8.125359762637531
55	6.008068311115336
56	11.236293677779415
